DEMO_age,DEMO_gender,DEMO_identity_newcomers,DEMO_identity_lgbtq,LONELY_ucla_loneliness_scale_score
30.0,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4.0
66.0,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9.0
27.0,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5.0
48.0,Woman,Not Selected,Not Selected,6.0
50.0,Woman,Not Selected,Not Selected,6.0
73.0,Woman,Not Selected,Not Selected,6.0
42.0,Man,Not Selected,Not Selected,7.0
32.0,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5.0
51.0,Woman,Not Selected,Not Selected,9.0
28.0,Man,"Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)",Not Selected,6.0
30.0,Woman,Not Selected,Not Selected,6.0
50.0,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4.0
23.0,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",8.0
27.0,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5.0
25.0,Man,Not Selected,Not Selected,3.0
52.0,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6.0
36.0,Man,"Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)",Not Selected,5.0
35.0,Woman,"Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)","Sexual or gender minorities (e.g., LGBTQ2+)",4.0
32.0,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5.0
32.0,Man,"Newcomers (e.g., Recent immigrants and refugees, i.e. being in Canada for less than 10 years)",Not Selected,6.0
68.0,Woman,Not Selected,Not Selected,6.0
63.0,Man,Not Selected,Not Selected,9.0
31.0,Man,Not Selected,Not Selected,5.0
25.0,Woman,Not Selected,Not Selected,5.0
44.0,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9.0
24.0,Woman,Not Selected,Not Selected,3.0
33.0,Woman,Not Selected,Not Selected,7.0
39.0,Man,Not Selected,Not Selected,5.0
19.0,Woman,Not Selected,Not Selected,9.0
49.0,Man,Not Selected,Not Selected,9.0
18.0,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6.0
37.0,Man,Not Selected,Not Selected,6.0
26.0,Woman,Not Selected,Not Selected,8.0
26.0,Man,Not Selected,Not Selected,6.0
30.0,Woman,Not Selected,Not Selected,6.0
67.0,Man,Not Selected,Not Selected,9.0
